,Date,Region,Place,Trigger,Number Killed,Unnamed: 5,Coordinates
0,01/31/2016,Salt Lake,Pointy Peak,Skier,1,Details,"40.681035109898, -111.598269411350"
1,01/21/2016,Salt Lake,Gobblers Knob,Skier,1,Details,"40.666951474815, -111.685399884810"
2,03/4/2015,Ogden,Hells Canyon,Snowboarder,1,Details,"41.215552643517, -111.873779284110"
3,03/7/2014,Uintas,Gold Hill,Snowmobiler,1,Details,"40.812120000000, -110.906296000000"
4,02/9/2014,Skyline,Huntington Reservior,Snowmobiler,1,Details,"39.585986000000, -111.270003000000"
5,02/8/2014,Salt Lake,Tibble Fork,Snowshoer,1,Details,"40.482366000000, -111.648088000000"
6,04/11/2013,Salt Lake,Kessler Slabs,Skier,1,Details,"40.629000000000, -111.666412000000"
7,03/1/2013,Skyline,White Mountain,Snowmobiler,1,Details,"39.043600000000, -111.519000000000"
8,01/18/2013,Uintas,West Fork of Duchesne,Snowmobiler,2,Details,
9,03/3/2012,Moab,Beaver Basin,Snowmobiler,1,Details,"38.539320000000, -109.209852000000"
10,02/23/2012,Salt Lake,Dutch Draw,Snowboarder,1,Details,"40.653034000000, -111.592255000000"
11,02/5/2012,Skyline,Lost Creek Reservoir,Snowmobiler,1,Details,"38.716456000000, -111.721988000000"
12,01/28/2012,Salt Lake,Kessler Peak,Snowboarder,1,Details,"40.624442000000, -111.669588000000"
13,11/13/2011,Salt Lake,Gad Valley,Snowboarder,1,Details,"40.568491000000, -111.652937000000"
14,03/26/2011,Skyline,Horseshoe Mountain,Skier,1,Details,"39.372824000000, -111.422482000000"
15,11/26/2010,Uintas,Cherry Hill,Snowmobiler,1,Details,"40.847320000000, -111.015129000000"
16,04/4/2010,Ogden,Francis Peak,Snowmobiler,1,Details,"41.050424000000, -111.844082000000"
17,01/29/2010,Salt Lake,Grandview Peak,Snowmobiler,1,Details,"40.856199868806, -111.754991041400"
18,01/27/2010,Salt Lake,Meadows,Skier,1,Details,"40.617112000000, -111.623840000000"
19,01/24/2010,Ogden,Hells Canyon,Skier,1,Details,"41.215563000000, -111.873307000000"
20,12/30/2008,Uintas,Yamaha Hill,Snowmobiler,1,Details,"40.871988000000, -110.974016000000"
21,12/24/2008,Logan,Logan Peak,Snowmobiler,2,Details,"41.711752000000, -111.717181000000"
22,12/14/2008,Salt Lake,Snowbird Ski Resort,Skier,1,Details,"40.569632000000, -111.641693000000"
23,12/31/2007,Uintas,Co-op Creek,Snowmobiler,1,Details,"0.000000000000, 0.000000000000"
24,12/25/2007,Uintas,Super Bowl,Snowmobiler,1,Details,"40.834820000000, -111.008220000000"
25,12/23/2007,Salt Lake,Canyons Ski Resort,Skier,1,Details,"40.660164000000, -111.596117000000"
26,02/21/2007,Salt Lake,Gobblers Knob,Skier,1,Details,"40.666707000000, -111.683493000000"
27,02/18/2007,Ogden,Hells Canyon,Skier,1,Details,"41.211302000000, -111.878414000000"
28,02/17/2007,Uintas,Buck Basin,Snowmobiler,1,Details,"40.393071000000, -111.140785000000"
29,02/17/2007,None,Signal Mountain,Snowmobiler,1,Details,"38.628762622838, -112.023038851360"
30,04/3/2006,Salt Lake,Pioneer Peak,Snowboarder,1,Details,"40.581465000000, -111.584144000000"
31,03/11/2006,Ogden,Taylor Canyon,Snowboarder,1,Details,"41.204845000000, -111.888671000000"
32,12/31/2005,Provo,American Fork,Unknown,1,Details,"40.388920000000, -111.640491000000"
33,03/31/2005,Ogden,Whiskey Hill,Snowmobiler,1,Details,"41.603891000000, -111.436043000000"
34,01/14/2005,Salt Lake,Dutch Draw,Snowboarder,1,Details,"40.651471000000, -111.592426000000"
35,01/8/2005,Skyline,Ephraim Canyon,Snowboarder,1,Details,"39.311399000000, -111.472757000000"
36,01/8/2005,Skyline,Choke Cherry Ridge,Snowmobiler,1,Details,"39.573416688873, -111.324640262490"
